Tabela B 465.0 m/s  Mergulhante
	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	
9800	-136	|-104	|-71	|-36	|0	|39	|80	|123	|170	|219	|272	|330	|393	|463	|543	|
9900	-141	|-108	|-74	|-38	|0	|40	|83	|129	|177	|230	|286	|347	|417	|495	|589	|
10000	-146	|-112	|-77	|-39	|0	|42	|87	|135	|186	|242	|302	|370	|447	|540	|
10100	-152	|-116	|-80	|-41	|0	|43	|91	|141	|196	|255	|322	|398	|491	|
10200	-158	|-121	|-83	|-43	|0	|46	|96	|149	|207	|272	|348	|
10300	-164	|-126	|-87	|-44	|0	|48	|101	|158	|222	|296	|
10400	-171	|-133	|-91	|-47	|0	|51	|107	|170	|
10500	-179	|-139	|-96	|-49	|0	|55	|
10600	-188	|-146	|-101	|-52	|0	|59	|
FIM


